episode,cumulative_reward
0,70.0
1,50.0
2,58.333333333333336
3,47.5
4,45.0
5,38.333333333333336
6,39.285714285714285
7,36.25
8,33.888888888888886
9,31.0
10,30.454545454545453
11,42.916666666666664
12,40.76923076923077
13,48.92857142857143
14,53.333333333333336
15,64.6875
16,72.3529411764706
17,75.27777777777777
18,77.63157894736842
19,79.75
20,86.42857142857143
21,95.68181818181819
22,100.0
23,104.375
24,104.8
25,110.1923076923077
26,110.74074074074075
27,115.0
28,115.51724137931035
29,121.16666666666667
30,121.7741935483871
31,124.0625
32,137.72727272727272
33,141.47058823529412
34,147.57142857142858
35,156.80555555555554
36,166.0810810810811
37,171.97368421052633
38,170.3846153846154
39,170.625
40,178.53658536585365
41,176.07142857142858
42,177.2093023255814
43,176.13636363636363
44,174.88888888888889
45,176.19565217391303
46,177.0212765957447
47,180.20833333333334
48,180.10204081632654
49,177.5
50,178.52941176470588
51,177.5
52,178.96226415094338
53,181.11111111111111
54,183.45454545454547
55,184.01785714285714
56,182.80701754385964
57,181.63793103448276
58,181.77966101694915
59,182.0
60,183.0327868852459
61,184.67741935483872
62,184.9206349206349
63,187.03125
64,187.3846153846154
65,187.65151515151516
66,188.13432835820896
67,186.69117647058823
68,187.46376811594203
69,187.57142857142858
70,187.04225352112675
71,184.86111111111111
72,185.54794520547946
73,183.3108108108108
74,184.06666666666666
75,182.17105263157896
76,184.02597402597402
77,184.48717948717947
78,183.86075949367088
79,184.5
80,183.39506172839506
81,184.02439024390245
82,187.16867469879517
83,185.89285714285714
84,185.35294117647058
85,185.17441860465115
86,186.4367816091954
87,185.2840909090909
88,185.67415730337078
89,187.05555555555554
90,188.2967032967033
91,188.6413043478261
92,189.3548387096774
93,190.58510638297872
94,188.73684210526315
95,188.48958333333334
96,188.659793814433
97,188.92857142857142
98,189.0909090909091
99,188.65
100,189.05
101,191.3
102,193.75
103,194.65
104,199.3
105,200.75
106,201.05
107,203.45
108,205.25
109,206.15
110,207.65
111,206.2
112,207.55
113,206.5
114,210.1
115,213.55
116,211.85
117,212.35
118,214.45
119,217.4
120,216.55
121,214.95
122,214.1
123,214.7
124,216.2
125,215.55
126,215.45
127,214.45
128,217.05
129,214.95
130,217.85
131,217.7
132,215.7
133,214.6
134,214.8
135,215.45
136,213.4
137,212.9
138,213.55
139,213.05
140,210.1
141,216.25
142,215.4
143,216.65
144,218.75
145,218.7
146,218.55
147,218.5
148,218.6
149,224.8
150,225.25
151,225.2
152,224.95
153,222.9
154,223.45
155,221.7
156,222.85
157,222.5
158,222.55
159,222.2
160,221.7
161,221.15
162,220.4
163,218.9
164,218.75
165,218.85
166,218.9
167,221.05
168,219.15
169,219.0
170,220.4
171,220.6
172,220.2
173,224.45
174,222.7
175,223.95
176,221.3
177,220.05
178,219.6
179,218.5
180,219.15
181,218.6
182,215.55
183,217.0
184,221.4
185,222.15
186,220.75
187,221.3
188,220.8
189,220.05
190,222.1
191,222.95
192,223.45
193,223.8
194,225.85
195,225.35
196,224.5
197,223.1
198,223.5
199,225.3
200,224.6
201,226.7
202,227.15
203,227.5
204,225.0
205,225.65
206,229.45
207,229.1
208,227.5
209,227.6
210,230.65
211,232.5
212,233.7
213,234.35
214,232.35
215,227.0
216,231.45
217,232.2
218,232.85
219,234.7
220,233.4
221,236.15
222,236.65
223,236.45
224,235.9
225,235.5
226,236.7
227,237.25
228,233.55
229,233.9
230,231.4
231,232.0
232,228.5
233,228.65
234,225.25
235,220.15
236,219.3
237,219.0
238,220.35
239,221.0
240,220.0
241,215.4
242,215.55
243,216.55
244,215.55
245,214.4
246,214.7
247,211.8
248,214.65
249,209.45
250,207.9
251,208.2
252,208.1
253,210.2
254,208.3
255,210.0
256,208.65
257,209.9
258,210.75
259,209.8
260,209.0
261,209.6
262,210.7
263,210.35
264,209.9
265,210.9
266,210.15
267,212.9
268,214.95
269,214.3
270,212.9
271,213.95
272,213.35
273,210.25
274,213.95
275,217.0
276,217.45
277,218.0
278,217.5
279,218.0
280,219.5
281,222.25
282,222.65
283,222.55
284,218.3
285,218.6
286,217.8
287,217.15
288,215.85
289,215.05
290,211.0
291,209.6
292,209.25
293,208.45
294,208.5
295,210.7
296,213.2
297,216.95
298,218.0
299,216.95
300,217.15
301,213.65
302,211.45
303,211.0
304,209.4
305,208.45
306,206.05
307,207.35
308,207.4
309,208.75
310,207.75
311,207.75
312,206.7
313,207.2
314,205.25
315,206.0
316,206.1
317,204.7
318,203.35
319,199.3
320,202.65
321,200.45
322,200.8
323,204.8
324,204.25
325,203.15
326,202.25
327,201.2
328,202.65
329,203.65
330,206.2
331,206.2
332,206.5
333,207.95
334,211.0
335,212.65
336,213.7
337,212.35
338,210.6
339,213.05
340,214.5
341,213.5
342,213.8
343,212.3
344,212.1
345,212.55
346,212.45
347,214.05
348,212.1
349,213.35
350,214.7
351,213.95
352,213.35
353,214.45
354,214.7
355,214.3
356,217.2
357,217.65
358,218.3
359,218.3
360,219.0
361,219.3
362,217.55
363,220.15
364,220.1
365,218.1
366,217.25
367,211.8
368,211.1
369,216.15
370,216.3
371,216.05
372,216.5
373,216.55
374,214.35
375,216.75
376,217.45
377,217.5
378,217.75
379,217.45
380,217.4
381,215.7
382,214.95
383,214.4
384,215.1
385,213.15
386,215.5
387,220.15
388,222.8
389,223.05
390,223.85
391,223.6
392,222.65
393,222.05
394,224.45
395,223.5
396,224.05
397,224.05
398,222.25
399,221.8
400,222.35
401,222.0
402,222.5
403,222.5
404,223.6
405,223.55
406,222.5
407,220.0
408,221.65
409,224.1
410,222.1
411,222.4
412,221.75
413,223.75
414,225.1
415,225.25
416,221.4
417,224.05
418,223.2
419,223.05
420,220.7
421,219.35
422,220.15
423,218.45
424,219.25
425,220.1
426,221.25
427,223.6
428,222.6
429,225.25
430,222.15
431,221.75
432,223.3
433,221.7
434,224.2
435,223.95
436,220.95
437,220.4
438,219.45
439,216.9
440,215.55
441,215.3
442,214.25
443,212.7
444,214.7
445,214.65
446,215.25
447,216.25
448,215.1
