episode,cumulative_reward
0,70.0
1,30.0
2,75.0
3,15.0
4,35.0
5,5.0
6,45.0
7,15.0
8,15.0
9,5.0
10,25.0
11,180.0
12,15.0
13,155.0
14,115.0
15,235.0
16,195.0
17,125.0
18,120.0
19,120.0
20,220.0
21,290.0
22,195.0
23,205.0
24,115.0
25,245.0
26,125.0
27,230.0
28,130.0
29,285.0
30,140.0
31,195.0
32,575.0
33,265.0
34,355.0
35,480.0
36,500.0
37,390.0
38,110.0
39,180.0
40,495.0
41,75.0
42,225.0
43,130.0
44,120.0
45,235.0
46,215.0
47,330.0
48,175.0
49,50.0
50,230.0
51,125.0
52,255.0
53,295.0
54,310.0
55,215.0
56,115.0
57,115.0
58,190.0
59,195.0
60,245.0
61,285.0
62,200.0
63,320.0
64,210.0
65,205.0
66,220.0
67,90.0
68,240.0
69,195.0
70,150.0
71,30.0
72,235.0
73,20.0
74,240.0
75,40.0
76,325.0
77,220.0
78,135.0
79,235.0
80,95.0
81,235.0
82,445.0
83,80.0
84,140.0
85,170.0
86,295.0
87,85.0
88,220.0
89,310.0
90,300.0
91,220.0
92,255.0
93,305.0
94,15.0
95,165.0
96,205.0
97,215.0
98,205.0
99,145.0
100,110.0
101,255.0
102,320.0
103,105.0
104,500.0
105,150.0
106,75.0
107,255.0
108,195.0
109,95.0
110,175.0
111,35.0
112,150.0
113,50.0
114,475.0
115,580.0
116,25.0
117,175.0
118,330.0
119,415.0
120,135.0
121,130.0
122,110.0
123,265.0
124,265.0
125,180.0
126,115.0
127,130.0
128,390.0
129,75.0
130,430.0
131,180.0
132,375.0
133,155.0
134,375.0
135,545.0
136,295.0
137,340.0
138,175.0
139,130.0
140,200.0
141,690.0
142,140.0
143,255.0
144,330.0
145,230.0
146,200.0
147,325.0
148,185.0
149,670.0
150,275.0
151,120.0
152,230.0
153,90.0
154,365.0
155,40.0
156,230.0
157,80.0
158,195.0
159,160.0
160,195.0
161,230.0
162,125.0
163,170.0
164,195.0
165,215.0
166,225.0
167,305.0
168,50.0
169,180.0
170,290.0
171,50.0
172,195.0
173,445.0
174,65.0
175,165.0
176,60.0
177,95.0
178,90.0
179,125.0
180,160.0
181,180.0
182,140.0
183,225.0
184,580.0
185,245.0
186,155.0
187,140.0
188,170.0
189,235.0
190,505.0
191,305.0
192,305.0
193,340.0
194,220.0
195,115.0
196,120.0
197,75.0
198,245.0
199,325.0
200,40.0
201,465.0
202,365.0
203,140.0
204,250.0
205,215.0
206,455.0
207,220.0
208,35.0
209,105.0
210,480.0
211,220.0
212,270.0
213,115.0
214,275.0
215,45.0
216,470.0
217,250.0
218,395.0
219,600.0
220,5.0
221,405.0
222,160.0
223,245.0
224,210.0
225,140.0
226,235.0
227,185.0
228,20.0
229,110.0
230,180.0
231,240.0
232,25.0
233,170.0
234,35.0
235,35.0
236,210.0
237,310.0
238,310.0
239,195.0
240,100.0
241,230.0
242,155.0
243,355.0
244,230.0
245,115.0
246,230.0
247,35.0
248,470.0
249,150.0
250,120.0
251,150.0
252,220.0
253,300.0
254,175.0
255,210.0
256,95.0
257,205.0
258,280.0
259,65.0
260,115.0
261,290.0
262,235.0
263,135.0
264,150.0
265,315.0
266,150.0
267,580.0
268,255.0
269,115.0
270,150.0
271,155.0
272,135.0
273,135.0
274,435.0
275,470.0
276,105.0
277,150.0
278,40.0
279,175.0
280,310.0
281,455.0
282,180.0
283,215.0
284,155.0
285,275.0
286,75.0
287,75.0
288,40.0
289,155.0
290,100.0
291,165.0
292,270.0
293,260.0
294,225.0
295,335.0
296,370.0
297,450.0
298,350.0
299,220.0
300,60.0
301,115.0
302,145.0
303,95.0
304,90.0
305,120.0
306,215.0
307,350.0
308,40.0
309,240.0
310,380.0
311,220.0
312,165.0
313,165.0
314,80.0
315,120.0
316,480.0
317,110.0
318,260.0
319,195.0
320,340.0
321,185.0
322,195.0
323,645.0
324,155.0
325,30.0
326,145.0
327,80.0
328,165.0
329,210.0
330,435.0
331,240.0
332,55.0
333,315.0
334,340.0
335,200.0
336,315.0
337,175.0
338,135.0
339,440.0
340,245.0
341,130.0
342,185.0
343,205.0
344,210.0
345,160.0
346,220.0
347,195.0
348,275.0
349,275.0
350,255.0
351,75.0
352,160.0
353,410.0
354,200.0
355,170.0
356,385.0
357,250.0
358,345.0
359,65.0
360,185.0
361,320.0
362,60.0
363,395.0
364,145.0
365,115.0
366,65.0
367,35.0
368,185.0
369,620.0
370,165.0
371,130.0
372,180.0
373,140.0
374,215.0
375,710.0
376,175.0
377,155.0
378,65.0
379,145.0
380,305.0
381,285.0
382,105.0
383,160.0
384,225.0
385,80.0
386,310.0
387,540.0
388,305.0
389,180.0
390,180.0
391,140.0
392,175.0
393,200.0
394,465.0
395,240.0
396,425.0
397,450.0
398,170.0
399,175.0
400,115.0
401,80.0
402,195.0
403,95.0
404,200.0
405,115.0
406,110.0
407,100.0
408,205.0
409,485.0
410,180.0
411,250.0
412,100.0
413,365.0
414,215.0
415,135.0
416,95.0
417,375.0
418,175.0
419,180.0
420,105.0
421,50.0
422,275.0
423,475.0
424,235.0
425,115.0
426,260.0
427,315.0
428,65.0
429,475.0
430,125.0
431,200.0
432,210.0
433,155.0
434,590.0
435,175.0
436,15.0
437,120.0
438,40.0
439,185.0
440,110.0
441,105.0
442,80.0
443,50.0
444,410.0
445,155.0
446,280.0
447,295.0
448,160.0
449,695.0
450,230.0
451,165.0
452,540.0
453,170.0
454,525.0
455,215.0
456,65.0
457,300.0
458,150.0
459,415.0
460,255.0
461,460.0
462,95.0
463,190.0
464,220.0
465,235.0
466,430.0
467,200.0
468,330.0
469,145.0
470,155.0
471,165.0
472,390.0
473,145.0
474,330.0
475,590.0
476,530.0
477,250.0
478,155.0
479,310.0
480,180.0
481,265.0
482,260.0
483,315.0
484,130.0
485,390.0
486,240.0
487,60.0
488,60.0
489,270.0
490,405.0
491,205.0
492,460.0
493,270.0
494,160.0
495,170.0
496,150.0
497,110.0
498,170.0
499,245.0
500,730.0
501,60.0
502,100.0
503,105.0
504,200.0
505,310.0
506,230.0
507,75.0
508,165.0
509,125.0
510,190.0
511,90.0
512,340.0
513,155.0
514,155.0
515,295.0
516,305.0
517,80.0
518,235.0
519,210.0
520,135.0
521,515.0
522,305.0
523,480.0
524,200.0
525,105.0
526,200.0
527,455.0
528,490.0
529,280.0
530,530.0
531,140.0
532,225.0
533,75.0
534,105.0
535,65.0
536,55.0
537,405.0
538,80.0
539,220.0
540,230.0
541,230.0
542,155.0
543,170.0
544,285.0
545,95.0
546,80.0
547,245.0
548,560.0
549,325.0
550,165.0
551,150.0
552,30.0
553,270.0
554,345.0
555,280.0
556,310.0
557,340.0
558,210.0
559,215.0
560,120.0
561,320.0
562,40.0
563,60.0
564,325.0
565,265.0
566,225.0
567,155.0
568,290.0
569,110.0
570,25.0
571,425.0
572,160.0
573,280.0
574,130.0
575,185.0
576,415.0
577,250.0
578,230.0
579,215.0
580,125.0
581,290.0
582,525.0
583,230.0
584,135.0
585,265.0
586,385.0
587,365.0
588,170.0
589,60.0
590,90.0
591,120.0
592,430.0
593,90.0
594,420.0
595,470.0
596,340.0
597,35.0
598,55.0
599,25.0
600,150.0
601,415.0
602,90.0
603,365.0
604,350.0
605,235.0
606,330.0
607,110.0
608,265.0
609,335.0
610,135.0
611,210.0
612,290.0
613,150.0
614,255.0
615,335.0
616,40.0
617,175.0
618,120.0
619,255.0
620,480.0
621,140.0
622,290.0
623,185.0
624,500.0
625,290.0
626,110.0
627,55.0
628,290.0
629,180.0
630,450.0
631,115.0
632,155.0
633,65.0
634,210.0
635,115.0
636,450.0
637,305.0
638,370.0
639,365.0
640,25.0
641,155.0
642,480.0
643,250.0
644,160.0
645,190.0
646,90.0
647,85.0
648,225.0
649,35.0
650,230.0
651,315.0
652,335.0
653,55.0
654,190.0
655,65.0
656,185.0
657,115.0
658,325.0
659,295.0
660,200.0
661,55.0
662,150.0
663,130.0
664,335.0
665,50.0
666,220.0
667,410.0
668,145.0
669,95.0
670,275.0
671,210.0
672,640.0
673,160.0
674,145.0
675,170.0
676,205.0
677,75.0
678,135.0
679,255.0
680,305.0
681,215.0
682,190.0
683,190.0
684,330.0
685,135.0
686,35.0
687,185.0
688,145.0
689,105.0
690,125.0
691,605.0
692,30.0
693,290.0
694,335.0
695,420.0
696,385.0
697,435.0
698,510.0
699,70.0
700,270.0
701,815.0
702,35.0
703,160.0
704,20.0
705,405.0
706,125.0
707,525.0
708,80.0
709,200.0
710,185.0
711,230.0
712,165.0
713,245.0
714,90.0
715,215.0
716,320.0
717,325.0
718,305.0
719,235.0
720,35.0
721,265.0
722,245.0
723,55.0
724,145.0
725,195.0
726,170.0
727,80.0
728,840.0
729,205.0
730,230.0
731,265.0
732,225.0
733,155.0
734,185.0
735,440.0
736,115.0
737,120.0
738,80.0
739,305.0
740,120.0
741,170.0
742,150.0
743,405.0
744,395.0
745,580.0
746,275.0
747,325.0
748,325.0
749,120.0
750,270.0
751,170.0
752,270.0
753,145.0
754,30.0
755,45.0
756,180.0
757,70.0
758,500.0
759,400.0
760,130.0
761,60.0
762,45.0
763,245.0
764,165.0
765,155.0
766,250.0
767,20.0
